time	humidity
02:18	33
02:18	33
02:19	33
02:19	33
02:19	33
02:19	33
02:19	33
02:20	33
02:20	33
02:20	33
02:20	33
02:20	33
02:21	33
02:21	33
02:21	34
02:21	34
02:21	34
02:22	33
02:22	33
02:22	33
02:22	33
02:22	33
02:22	33
02:23	33
02:23	33
02:23	33
02:23	33
02:23	33
02:24	33
02:24	33
02:24	33
02:24	33
02:24	33
02:25	33
02:25	33
02:25	33
02:25	34
02:25	34
02:26	34
02:26	34
02:26	34
02:26	34
02:26	34
02:27	34
02:27	34
02:27	34
02:27	34
02:27	34
02:28	34
02:28	33
02:28	33
02:28	33
02:28	33
02:29	33
02:29	33
02:29	33
02:29	33
02:29	33
02:30	33
02:30	33
02:30	33
02:30	33
02:30	33
02:30	33
02:31	33
02:31	33
02:31	33
02:31	34
02:31	34
02:32	33
02:32	33
02:32	33
02:32	33
02:32	33
02:33	33
02:33	33
02:33	33
02:55	54
02:55	51
02:55	49
02:55	48
02:55	46
02:56	45
02:56	44
02:56	43
02:56	42
02:56	41
02:57	41
02:57	41
02:57	40
02:57	39
02:57	39
02:57	39
02:58	38
02:58	38
02:58	38
02:58	38
02:58	39
03:00	44
03:00	44
03:01	44
03:01	52
03:01	54
03:01	55
03:01	55
03:02	55
03:02	55
03:02	55
03:02	54
03:02	54
03:03	53
03:03	53
03:03	52
03:03	52
03:03	51
03:04	51
03:04	50
03:04	48
03:04	47
03:04	46
03:05	46
03:05	45
03:05	45
03:05	45
03:05	44
03:06	44
03:06	43
03:06	43
03:06	43
03:06	43
03:07	43
03:07	42
03:07	42
03:07	42
03:07	42
03:08	42
03:08	42
03:08	42
03:08	42
03:08	42
03:08	42
03:09	42
03:09	42
03:09	42
03:09	42
03:09	42
03:10	41
03:10	41
03:10	41
03:10	41
03:10	41
03:11	41
03:11	41
03:11	40
03:11	40
03:11	40
03:12	40
03:12	40
03:12	40
03:12	40
03:12	40
03:13	40
03:13	40
03:13	40
03:13	40
03:13	40
03:14	40
03:14	40
03:14	39
03:14	39
03:14	39
03:15	39
03:15	39
03:15	39
03:15	39
03:15	38
03:16	38
03:16	38
03:16	38
03:16	38
03:16	38
03:16	38
03:17	38
03:17	37
03:17	37
03:17	37
03:17	37
03:18	37
03:18	37
03:18	37
03:18	37
03:18	37
03:19	37
03:19	37
03:19	36
03:19	36
03:19	36
03:20	36
03:20	36
03:20	36
03:20	36
03:20	36
03:21	36
03:21	36
03:21	35
03:21	35
03:21	35
03:22	35
03:22	35
03:22	35
03:22	35
03:22	35
03:23	35
03:23	35
03:23	35
03:23	35
03:23	34
03:24	34
03:24	34
03:24	34
03:24	34
03:24	34
03:25	34
03:25	34
03:25	34
03:25	34
03:25	34
03:25	33
03:26	33
03:26	33
03:26	33
03:26	33
03:26	33
03:27	33
03:27	33
03:27	33
03:27	33
03:27	32
03:28	32
03:28	32
03:28	32
03:28	32
03:28	32
