time	humidity
02:18	-4
02:18	-4
02:19	-4
02:19	-4
02:19	-4
02:19	-4
02:19	-4
02:20	-4
02:20	-4
02:20	-4
02:20	-4
02:20	-4
02:21	-4
02:21	-4
02:21	-4
02:21	-4
02:21	-4
02:22	-4
02:22	-4
02:22	-4
02:22	-4
02:22	-4
02:23	-4
02:23	-4
02:23	-4
02:23	-4
02:23	-4
02:24	-4
02:24	-4
02:24	-4
02:24	-4
02:24	-4
02:25	-4
02:25	-4
02:25	-4
02:25	-4
02:25	-4
02:26	-4
02:26	-4
02:26	-4
02:26	-4
02:26	-4
02:26	-4
02:27	-4
02:27	-4
02:27	-4
02:27	-4
02:27	-4
02:28	-4
02:28	-4
02:28	-4
02:28	-4
02:28	-4
02:29	-4
02:29	-4
02:29	-4
02:29	-4
02:29	-4
02:30	-4
02:30	-4
02:30	-4
02:30	-4
02:30	-4
02:31	-4
02:31	-4
02:31	-4
02:31	-4
02:31	-4
02:32	-4
02:32	-4
02:32	-4
02:32	-4
02:32	-4
02:33	-4
02:33	-4
02:33	-4
02:33	-4
02:33	-4
02:34	-4
02:34	-4
02:34	-4
02:34	-4
02:34	-4
02:34	-4
02:35	-4
02:35	-4
02:35	-4
02:35	-4
02:35	-4
02:36	-4
02:36	-4
02:36	-4
02:36	-4
02:36	-4
02:37	-4
02:37	-4
02:37	-4
02:37	-4
02:37	-4
02:38	-4
02:38	-4
02:38	-4
02:38	-4
02:38	-4
02:39	-4
02:39	-4
02:39	-4
02:39	-4
02:39	-4
02:40	-4
02:40	-4
02:40	-4
02:40	-4
02:40	-4
02:41	-4
02:41	-4
02:41	-4
02:41	-4
02:41	-4
02:42	-4
02:42	-4
02:42	-4
02:42	-4
02:42	-4
02:43	-4
02:43	-4
02:43	-4
02:43	-4
02:43	-4
02:43	-4
02:44	-4
02:44	-4
02:44	-4
02:44	-4
02:44	-4
02:45	-4
02:45	-4
02:45	-4
02:45	-4
02:45	-4
02:46	-4
02:46	-4
02:46	-4
02:46	-4
02:46	-4
02:47	-4
02:47	-4
02:47	-4
02:47	-4
02:47	-4
02:48	-4
02:48	-4
02:48	-4
02:48	-4
02:48	-4
02:49	-4
02:49	-4
02:49	-4
02:49	-4
02:49	-4
02:50	-4
02:50	-4
02:50	-4
02:50	-4
02:50	-4
02:51	-4
02:51	-4
02:51	-4
02:51	-4
02:51	-4
02:51	-4
02:52	-4
02:52	-4
02:52	-4
02:52	-4
02:52	-4
02:53	-4
02:53	-4
02:53	-4
02:53	-4
02:53	-4
02:54	-4
02:54	-4
02:54	-4
02:54	-4
02:54	-4
02:55	-4
02:55	-4
02:55	-4
02:55	-4
02:55	-4
02:56	-4
02:56	-4
02:56	-4
02:56	-4
02:56	-4
02:57	-4
02:57	-4
02:57	-4
02:57	-4
02:57	-4
02:58	-4
02:58	-4
02:58	-4
02:58	-4
02:58	-4
03:00	-4
03:00	-4
03:01	-4
03:01	-4
03:01	-4
03:01	-4
03:01	-4
03:02	-4
03:02	-4
03:02	-4
03:02	-4
03:02	-4
03:03	-4
03:03	-4
03:03	-4
03:03	-4
03:03	-4
03:04	-4
03:04	-4
03:04	-4
03:04	-4
03:04	-4
03:05	-4
03:05	-4
03:05	-4
03:05	-4
03:05	-4
03:06	-4
03:06	-4
03:06	-4
03:06	-4
03:06	-4
03:07	-4
03:07	-4
03:07	-4
03:07	-4
03:07	-4
03:08	-4
03:08	-4
03:08	-4
03:08	-4
03:08	-4
03:08	-4
03:09	-4
03:09	-4
03:09	-4
03:09	-4
03:09	-4
03:10	-4
03:10	-4
03:10	-4
03:10	-4
03:10	-4
03:11	-4
03:11	-4
03:11	-4
03:11	-4
03:11	-4
03:12	-4
03:12	-4
03:12	-4
03:12	-4
03:12	-4
03:13	-4
03:13	-4
03:13	-4
03:13	-4
03:13	-4
03:14	-4
03:14	-4
03:14	-4
03:14	-4
03:14	-4
03:15	-4
03:15	-4
03:15	-4
03:15	-4
03:15	-4
03:16	-4
03:16	-4
03:16	-4
03:16	-4
03:16	-4
03:16	-4
03:17	-4
03:17	-4
03:17	-4
03:17	-4
03:17	-4
03:18	-4
03:18	-4
03:18	-4
03:18	-4
03:18	-4
03:19	-4
03:19	-4
03:19	-4
03:19	-4
03:19	-4
